ticket_id,created_date,severity,system,module,issue_type,short_description,detailed_description,root_cause,remediation_steps,assigned_agent,resolution_time_hours,status,business_impact,recurrence_count,environment
INC001,2026-01-05,P1,SAP ECC,MM,Performance,SAP MM transaction MIGO extremely slow,Users report MIGO transaction taking over 60 seconds to load during goods receipt posting. Buffer pool exhausted.,Database buffer pool overflow due to large batch posting without index optimization,1. Check ST02 buffer statistics 2. Increase buffer pool size in RZ10 3. Rebuild indexes on MSEG table 4. Schedule batch postings off-peak,Agent_DB_01,4.5,Resolved,High,12,Production
INC002,2026-01-06,P2,SAP ECC,FI,Error,FI posting period not open for January,Users cannot post financial documents in January. Posting period configuration missing for new fiscal year.,Posting period variant not maintained for new fiscal year in OB52,1. Open transaction OB52 2. Maintain posting period for period 01/2026 3. Verify authorization group 4. Test with FB01,Agent_FI_01,1.5,Resolved,High,4,Production
INC003,2026-01-07,P3,SAP ECC,SD,Configuration,SD pricing condition not calculating correctly,Sales orders showing incorrect pricing for material group Z001. Condition type PR00 returning zero.,Validity period expired on pricing condition record in VK11,1. Check VK13 for condition records 2. Extend validity dates in VK11 3. Regenerate pricing in VA02 4. Verify with billing simulation,Agent_SD_01,3.0,Resolved,Medium,7,Production
INC004,2026-01-08,P1,Oracle EBS,AP,Error,Oracle AP invoice interface failing with ORA-00001,Invoice import program APXIIMPT failing with unique constraint violation. 500+ invoices stuck in interface.,Duplicate invoice numbers in AP_INVOICES_INTERFACE table from upstream feed,1. Query interface table for duplicates 2. Purge duplicate records 3. Fix source system duplicate check 4. Rerun APXIIMPT import program,Agent_DB_01,6.0,Resolved,Critical,15,Production
INC005,2026-01-09,P2,SAP ECC,MM,Performance,MRP run taking over 12 hours to complete,Weekly MRP run MD01 exceeding maintenance window. System resources maxed during execution.,Missing indexes on planning tables and excessive MRP scope without proper plant/MRP area filters,1. Review MD01 scope parameters 2. Add indexes on MDKP/MDTB tables 3. Enable parallel processing in OMIX 4. Segment MRP by plant groups,Agent_DB_01,8.0,Resolved,High,10,Production
INC006,2026-01-10,P3,SAP ECC,BASIS,Access,Users locked out after password policy change,Multiple users unable to login after security policy update. SUIM showing locked accounts.,New password policy parameters in SECPOL not communicated to user base,1. Review locked users in SU10 2. Mass unlock via SU10 3. Communicate new password requirements 4. Monitor login failures in SM20,Agent_SEC_01,2.0,Resolved,Medium,3,Production
INC007,2026-01-11,P2,Oracle EBS,GL,Error,Oracle GL journal import rejecting entries,AutoPost program failing with period not open error. Month-end close journals stuck.,GL period status not set to Open for January in GL_PERIOD_STATUSES,1. Open GL period via Navigate > Setup > Open/Close 2. Verify subledger periods 3. Resubmit journal import 4. Validate with trial balance,Agent_FI_01,2.5,Resolved,High,5,Production
INC008,2026-01-12,P1,SAP ECC,MM,Performance,Warehouse management RF transactions timeout,RF scanner transactions in LT01/LT02 timing out. Warehouse operations halted.,Network latency combined with large open transfer order volume in LTBK table,1. Archive completed transfer orders 2. Check network latency to RF devices 3. Optimize LTBK table indexes 4. Increase dialog work process timeout,Agent_DB_01,5.0,Resolved,Critical,18,Production
INC009,2026-01-13,P2,SAP ECC,FI,Configuration,Asset depreciation run posting to wrong cost center,AFAB depreciation run posting to old cost center after reorganization. Financial reports incorrect.,Cost center assignment in asset master not updated after org restructuring,1. Run AR02 to check asset master 2. Mass update cost centers via ABUMN 3. Reverse incorrect postings 4. Rerun AFAB for affected assets,Agent_FI_01,4.0,Resolved,High,6,Production
INC010,2026-01-14,P3,Oracle EBS,INV,Error,Oracle Inventory min-max planning not generating orders,Min-max planning report not creating requisitions. Stock levels falling below safety stock.,Item planning method not set to Min-Max in item master organization parameters,1. Check item attributes in Item Master 2. Set planning method to Min-Max 3. Define min/max quantities 4. Rerun min-max planning report,Agent_MM_01,3.5,Resolved,Medium,8,Production
INC011,2026-01-15,P1,SAP ECC,MM,Performance,SAP HANA memory alert - MM tables consuming excessive memory,HANA memory utilization at 92%. MSEG and MKPF tables consuming majority of column store memory.,Historical data not archived. Table partitioning not optimized for HANA.,1. Check HANA Studio memory overview 2. Archive MSEG/MKPF older than 2 years via SARA 3. Optimize table partitioning 4. Monitor memory recovery,Agent_DB_01,7.0,Resolved,Critical,9,Production
INC012,2026-01-16,P2,SAP ECC,SD,Error,Delivery document creation failing with partner error,VL01N failing with partner function SP not determined. Orders stuck without deliveries.,Ship-to party partner function removed during customer master data cleanup,1. Check customer master XD03 partner functions 2. Restore SP partner function 3. Process stuck deliveries via VL04 4. Add partner function validation to cleanup procedures,Agent_SD_01,2.0,Resolved,High,4,Production
INC013,2026-01-17,P3,SAP ECC,BASIS,Performance,Background job queue backlog exceeding threshold,Over 200 background jobs in queue. BTCTRNS1 showing Released status with no available background work processes.,Background work processes consumed by long-running reports without time limits,1. Check SM37 for long-running jobs 2. Cancel stuck jobs after review 3. Increase BGD work processes in RZ04 4. Implement job scheduling governance,Agent_BASIS_01,3.0,Resolved,Medium,11,Production
INC014,2026-01-18,P2,Oracle EBS,PO,Error,Purchase order approval workflow stuck in AME,Purchase orders pending approval for 3+ days. AME rules not routing to backup approvers.,Approval hierarchy missing backup approver for terminated manager in HR_ALL_POSITIONS,1. Check AME rule configuration 2. Update approval hierarchy 3. Reassign pending approvals 4. Add vacancy detection rule to AME,Agent_MM_01,4.0,Resolved,High,7,Production
INC015,2026-01-19,P1,SAP ECC,FI,Error,Bank statement import BFF failing with format error,Electronic bank statement import via FF_5 failing. Bank reconciliation delayed.,Bank communication format changed by bank without prior notification,1. Compare old and new bank formats 2. Update FIBF configuration 3. Adjust BAI2/MT940 mapping in SPRO 4. Test with sample statement,Agent_FI_01,5.0,Resolved,Critical,3,Production
INC016,2026-01-20,P3,SAP ECC,MM,Configuration,Purchase requisition approval workflow not triggering,PR created via ME51N not routing to approvers. SWI1 showing no workflow events.,Release strategy condition records not maintained for new purchasing group,1. Check release strategy in SPRO 2. Maintain condition records for new purch group 3. Test workflow via SWDD 4. Verify approver assignments in SWI1,Agent_MM_01,2.5,Resolved,Medium,5,Production
INC017,2026-01-21,P2,Oracle EBS,AR,Error,Oracle AR AutoInvoice failing with tax calculation error,AutoInvoice import rejecting records with tax error. Revenue recognition delayed.,Tax rate code expired in ZX_RATES table for January effective dates,1. Check tax configuration in eBTax 2. Extend rate effective dates 3. Revalidate interface records 4. Resubmit AutoInvoice,Agent_FI_01,3.0,Resolved,High,6,Production
INC018,2026-01-22,P1,SAP ECC,BASIS,Performance,SAP system response time degraded across all modules,Average dialog response time exceeding 3 seconds. All transactions affected.,Excessive table statistics causing optimizer to choose suboptimal execution plans,1. Update table statistics via DB13 2. Reset buffer pools 3. Check expensive SQL in ST04 4. Review and tune top 10 queries,Agent_DB_01,6.0,Resolved,Critical,14,Production
INC019,2026-01-23,P3,SAP ECC,SD,Configuration,Output determination not generating invoice printouts,Billing documents created but no output generated. Customers not receiving invoices.,Output condition records missing for new billing type in NACE,1. Check NACE output configuration 2. Create condition records in VV31 3. Manually trigger output for pending invoices 4. Verify printer/email settings,Agent_SD_01,2.0,Resolved,Medium,4,Production
INC020,2026-01-24,P2,SAP ECC,MM,Error,Goods receipt posting creating duplicate material documents,MIGO posting creating two material documents for single receipt. Inventory quantities doubled.,Double-click on save button combined with missing idempotency check in custom BADI,1. Identify affected material docs via MB51 2. Reverse duplicates via MBST 3. Implement click-lock in BADI 4. Add duplicate detection logic,Agent_MM_01,4.0,Resolved,High,8,Production
INC021,2026-01-25,P1,SAP ECC,MM,Performance,SAP transaction ME2M report running for 45 minutes,Purchase order report ME2M timing out for large date ranges. Procurement team blocked.,Missing index on EKKO/EKPO for document date range queries,1. Analyze execution plan in ST05 2. Create composite index on EKKO(BEDAT+BUKRS) 3. Consider ALV list vs grid optimization 4. Implement date range restrictions,Agent_DB_01,3.0,Resolved,High,13,Production
INC022,2026-01-26,P2,Oracle EBS,FA,Error,Oracle Fixed Assets depreciation projection report error,Depreciation projection showing negative values. Capital planning affected.,Salvage value incorrectly set higher than asset cost for recently transferred assets,1. Query FA_BOOKS for salvage > cost 2. Correct salvage values 3. Run what-if depreciation 4. Resubmit projection report,Agent_FI_01,3.5,Resolved,Medium,3,Production
INC023,2026-01-27,P3,SAP ECC,FI,Access,Financial report authorization missing for new cost centers,Users cannot run FBL3N for new cost centers. Authorization check failing on K_BKPF.,Authorization profile not updated for new cost center groups in PFCG,1. Check SU53 authorization failures 2. Update role in PFCG 3. Add new cost center groups 4. Transport and assign updated role,Agent_SEC_01,1.5,Resolved,Low,5,Production
